Year,Winner,RunnerUp
1989,Blue
1990,Gold
1991,Blue
1992,Gold,Gray
1993,Blue,Purple
1994,Purple
1995,Gray,Blue
1996,Blue
1997,Blue
1998,Green
1999,Green
2000,Green,Blue
2001,Blue,Gold
2002,Green,Gray
2003,Blue,Green
2004,Blue,Gray
2005,Green,Blue
2006,Green,Blue
2007,Gray,Green
2008,Gray,Green
2009,Gray,Green
2010,Gray,Blue
2011,Gray,Green
2012,Green,Orange
2013,Gray,Orange
2014,Orange,Gray
2015,Green,Purple
2016,Gray,White
2017,Gray,Purple
2018,Blue,Gray
2019,Blue,Green
2020,Orange,Blue
2021,Covid,Covid
2022,Covid,Covid
2023,Green,Purple
